Month;Year;Begining;Ending;Count_Entries
January;2015;0;2109;2109
February;2015;2110;4091;1981
March;2015;4092;6277;2185
April;2015;6278;8427;2149
May;2015;8428;10488;2060
June;2015;10489;12637;2148
July;2015;12638;14883;2245
August;2015;14884;16945;2061
September;2015;16946;19090;2144
October;2015;19091;21254;2163
November;2015;21255;23349;2094
December;2015;23350;25595;2245
January;2016;25596;27659;2063
February;2016;27660;29734;2074
March;2016;29735;31995;2260
April;2016;31996;34049;2053
May;2016;34050;36204;2154
June;2016;36205;38359;2154
July;2016;38360;40420;2060
August;2016;40421;42663;2242
September;2016;42664;44809;2145
October;2016;44810;46890;2080
November;2016;46891;49060;2169
December;2016;49061;51229;2168
January;2017;51230;53399;2169
February;2017;53400;55387;1987
March;2017;55388;57655;2267
April;2017;57656;59619;1963
May;2017;59620;61863;2243
June;2017;61864;64013;2149
July;2017;64014;66077;2063
August;2017;66078;68321;2243
September;2017;68322;70378;2056
October;2017;70379;72552;2173
November;2017;72553;74728;2175
December;2017;74729;76778;2049
January;2018;76779;79006;2227
February;2018;79007;80998;1991
March;2018;80999;83176;2177
April;2018;83177;85234;2057
May;2018;85235;87478;2243
June;2018;87479;89532;2053
July;2018;89533;91687;2154
August;2018;91688;93934;2246
September;2018;93935;95900;1965
October;2018;95901;98160;2259
November;2018;98161;100332;2171
December;2018;100333;102418;2085
January;2019;102419;104163;1744
February;2019;104164;106152;1988
March;2019;106153;108240;2087
April;2019;108241;110385;2144
May;2019;110386;112653;2267
June;2019;112654;114641;1987
July;2019;114642;116885;2243
August;2019;116886;119019;2133
September;2019;119020;121090;2070
October;2019;121091;123351;2260
November;2019;123352;125438;2086
December;2019;125439;127615;2176
Q1;2015;0;6277;6277
Q2;2015;6278;12637;6359
Q3;2015;12638;19090;6452
Q4;2015;19091;25595;6504
Q1;2016;25596;31995;6399
Q2;2016;31996;38359;6363
Q3;2016;38360;44809;6449
Q4;2016;44810;51229;6419
Q1;2017;51230;57655;6425
Q2;2017;57656;64013;6357
Q3;2017;64014;70378;6364
Q4;2017;70379;76778;6399
Q1;2018;76779;83176;6397
Q2;2018;83177;89532;6355
Q3;2018;89533;95900;6367
Q4;2018;95901;102418;6517
Q1;2019;102419;108240;5821
Q2;2019;108241;114641;6400
Q3;2019;114642;121090;6448
Q4;2019;121091;127615;6524
Thanksgiving+BlackFriday;2015;22051;23750;1699
Thanksgiving+BlackFriday;2016;47576;49269;1693
Thanksgiving+BlackFriday;2017;73142;74840;1698
Thanksgiving+BlackFriday;2018;98654;100349;1695
Thanksgiving+BlackFriday;2019;124246;125448;1202
Easter;2015;6278;7054;776
Easter;2016;31111;33366;2255
Easter;2017;57859;59027;1168
Easter;2018;82298;83565;1267
Easter;2019;107146;108240;1094
4thJuly;2015;11947;13415;1468
4thJuly;2016;37487;38955;1468
4thJuly;2017;63140;64609;1469
4thJuly;2018;88754;90220;1466
4thJuly;2019;113952;115419;1467
SuperBowl;2015;1611;3106;1495
SuperBowl;2016;27649;28646;997
SuperBowl;2017;53197;54201;1004
SuperBowl;2018;78713;79714;1001
SuperBowl;2019;103769;104774;1005
